station_name,station_number,line_number,line_number.alt,perehod,perehod.alt,depth,opening_date,potok,latitude,longitude
Тульская,15,9,Серпуховско-Тимирязевская,,,"-9,5",08.11.1983,35200,"55,70861111","37,62277778"
Нагатинская,16,9,Серпуховско-Тимирязевская,14,Переход на станцию Верхние Котлы Московского центрального кольца,"-13,5",08.11.1983,44200,"55,68305556","37,6225"
Нагорная,17,9,Серпуховско-Тимирязевская,,,-9,08.11.1983,34100,"55,6725","37,61027778"
Нахимовский проспект,18,9,Серпуховско-Тимирязевская,,,"-9,5",08.11.1983,39300,"55,66277778","37,60555556"
Севастопольская,19,9,Серпуховско-Тимирязевская,11,Переход на станцию Каховская Каховской линии,-13,08.11.1983,26400,"55,6525","37,59833333"
Чертановская,20,9,Серпуховско-Тимирязевская,,,"-10,5",08.11.1983,39000,"55,64055556","37,60666667"
Южная,21,9,Серпуховско-Тимирязевская,,,-10,08.11.1983,41700,"55,6225","37,60888889"
Кантемировская,17,2,Замоскворецкая,,,-8,30.12.1984,39200,"55,63583333","37,65638889"
Царицыно,18,2,Замоскворецкая,,,-8,30.12.1984,83200,"55,62138889","37,66944444"
Орехово,19,2,Замоскворецкая,,,-9,30.12.1984,47300,"55,61333333","37,695"
Домодедовская,20,2,Замоскворецкая,,,"-9,5",07.09.1985,93600,"55,61083333","37,71861111"
Красногвардейская,21,2,Замоскворецкая,10,Переход на станцию Зябликово Люблинско-Дмитровской линии,-9,07.09.1985,39400,"55,61361111","37,74444444"
Пражская,22,9,Серпуховско-Тимирязевская,,,"-9,5",06.11.1985,78100,"55,6125","37,60444444"
Боровицкая,12,9,Серпуховско-Тимирязевская,1,Переход на станцию Библиотека имени Ленина Сокольнической линии,"-46,5",23.01.1986,6400,"55,75111111","37,60722222"
Полянка,13,9,Серпуховско-Тимирязевская,,,"-36,5",23.01.1986,25800,"55,73777778","37,61805556"
Третьяковская,1,8,Калининская,2,Переход на станцию Новокузнецкая Замоскворецкой линии,-46,25.01.1986,29700,"55,74111111","37,6275"
Коньково,21,6,Калужско-Рижская,,,-8,06.11.1987,35500,"55,63333333","37,51888889"
Тёплый Стан,22,6,Калужско-Рижская,,,-8,06.11.1987,31300,"55,61916667","37,50833333"
Чеховская,11,9,Серпуховско-Тимирязевская,2,Переход на станцию Тверская Замоскворецкой линии,-62,31.12.1987,22900,"55,76444444","37,60972222"
Савёловская,8,9,Серпуховско-Тимирязевская,,,-52,31.12.1988,59400,"55,79277778","37,58861111"
