station_name,station_number,line_number,line_number.alt,perehod,perehod.alt,depth,opening_date,potok,latitude,longitude
Марьина роща,4,10,Люблинско-Дмитровская,,,-60,19.06.2010,28800,"55,79527778","37,61611111"
Достоевская,5,10,Люблинско-Дмитровская,,,-60,19.06.2010,18200,"55,78166667","37,615"
Борисово,18,10,Люблинско-Дмитровская,,,-10,02.12.2011,25600,"55,63333333","37,74361111"
Шипиловская,19,10,Люблинско-Дмитровская,,,-10,02.12.2011,39000,"55,62111111","37,74361111"
Зябликово,20,10,Люблинско-Дмитровская,2,Переход на станцию Красногвардейская Замоскворецкой линии,-15,02.12.2011,28300,"55,6125","37,74527778"
Новокосино,8,8,Калининская,,,-9,30.08.2012,53100,"55,745","37,86388889"
Алма-Атинская,22,2,Замоскворецкая,,,-10,24.12.2012,29700,"55,6325","37,76611111"
Пятницкое шоссе,1,3,Арбатско-Покровская,,,-11,28.12.2012,24000,"55,85638889","37,35444444"
Лермонтовский проспект,21,7,Таганско-Краснопресненская,,,-12,09.11.2013,13600,"55,70138889","37,8525"
Жулебино,22,7,Таганско-Краснопресненская,,,-15,09.11.2013,44500,"55,68555556","37,85638889"
Парк Победы,4,8А,Солнцевская,3,Кросс-платформенная пересадка на станцию Парк Победы Арбатско-Покровской линии,"-73,6",31.01.2014,,"55,73611111","37,51833333"
Деловой центр,5,8А,Солнцевская,4,Переход на станцию Выставочная Филёвской линии,-25,31.01.2014,,"55,74916667","37,53944444"
Битцевский парк,1,12,Бутовская,6,Переход на станцию Новоясеневская Калужско-Рижской линии,-10,27.02.2014,9800,"55,60027778","37,55611111"
Лесопарковая,2,12,Бутовская,,,-10,27.02.2014,1000,"55,58222222","37,57694444"
Спартак,4,7,Таганско-Краснопресненская,,,-10,27.08.2014,21000,"55,81833333","37,43527778"
Тропарёво,20,1,Сокольническая,,,-12,08.12.2014,27700,"55,64583333","37,4725"
Котельники,23,7,Таганско-Краснопресненская,,,-15,21.09.2015,19000,"55,67416667","37,85833333"
Технопарк,14,2,Замоскворецкая,,,0,28.12.2015,20000,"55,695","37,66416667"
Румянцево,21,1,Сокольническая,,,-12,18.01.2016,26000,"55,63305556","37,44194444"
Саларьево,22,1,Сокольническая,,,-12,15.02.2016,36000,"55,62194444","37,42416667"
Окружная,1,14,Московское центральное кольцо,,,,10.09.2016,,"55,84888889","37,57111111"
Владыкино,2,14,Московское центральное кольцо,9,Переход на станцию Владыкино Серпуховско-Тимирязевской линии,,10.09.2016,,"55,84722222","37,59194444"
Ботанический сад,3,14,Московское центральное кольцо,6,Переход на станцию Ботанический сад Калужско-Рижской линии,,10.09.2016,,"55,84555556","37,64027778"
Ростокино,4,14,Московское центральное кольцо,,,,10.09.2016,,"55,83944444","37,66777778"
Белокаменная,5,14,Московское центральное кольцо,,,,10.09.2016,,"55,83","37,70055556"
Бульвар Рокоссовского,6,14,Московское центральное кольцо,1,Переход на станцию Бульвар Рокоссовского Сокольнической линии,,10.09.2016,,"55,81722222","37,73694444"
Локомотив,7,14,Московское центральное кольцо,1,Переход на станцию Черкизовская Сокольнической линии,,10.09.2016,,"55,80388889","37,74611111"
Измайлово,8,14,Московское центральное кольцо,3,Переход на станцию Партизанская Арбатско-Покровской линии,,10.09.2016,,"55,78861111","37,74277778"
Шоссе Энтузиастов,10,14,Московское центральное кольцо,8,Переход на станцию Шоссе Энтузиастов Калининской линии,,10.09.2016,,"55,75888889","37,74638889"
Андроновка,11,14,Московское центральное кольцо,,,,10.09.2016,,"55,74111111","37,73444444"
Нижегородская,12,14,Московское центральное кольцо,,,,10.09.2016,,"55,73222222","37,72833333"
Новохохловская,13,14,Московское центральное кольцо,,,,10.09.2016,,"55,72388889","37,71611111"
Угрешская,14,14,Московское центральное кольцо,7,Переход на станцию Полежаевская Таганско-Краснопресненской линии,,10.09.2016,,"55,71833333","37,69777778"
Автозаводская,16,14,Московское центральное кольцо,2,Переход на станцию Автозаводская Замоскворецкой линии,,10.09.2016,,"55,70638889","37,66305556"
ЗИЛ,17,14,Московское центральное кольцо,,,,10.09.2016,,"55,69833333","37,64833333"
Верхние Котлы,18,14,Московское центральное кольцо,9,Переход на станцию Нагатинская Серпуховско-Тимирязевской линии,,10.09.2016,,"55,69","37,61888889"
Крымская,19,14,Московское центральное кольцо,,,,10.09.2016,,"55,69","37,605"
Площадь Гагарина,20,14,Московское центральное кольцо,6,Переход на станцию Ленинский проспект Калужско-Рижской линии,,10.09.2016,,"55,70694444","37,58583333"
Лужники,21,14,Московское центральное кольцо,1,Переход на станцию Спортивная Сокольнической линии,,10.09.2016,,"55,72027778","37,56305556"
Кутузовская,22,14,Московское центральное кольцо,4,Переход на станцию Кутузовская Филёвской линии,,10.09.2016,,"55,74083333","37,53333333"
Деловой центр,23,14,Московское центральное кольцо,4,Переход на станцию Международная Филёвской линии,,10.09.2016,,"55,74722222","37,53222222"
Шелепиха,24,14,Московское центральное кольцо,,,,10.09.2016,,"55,7575","37,52555556"
Хорошёво,25,14,Московское центральное кольцо,7,Переход на станцию Полежаевская Таганско-Краснопресненской линии,,10.09.2016,,"55,77722222","37,50722222"
Стрешнево,28,14,Московское центральное кольцо,,,,10.09.2016,,"55,81361111","37,48694444"
Балтийская,29,14,Московское центральное кольцо,2,Переход на станцию Войковская Замоскворецкой линии,,10.09.2016,,"55,82583333","37,49611111"
Лихоборы,31,14,Московское центральное кольцо,,,,10.09.2016,,"55,84722222","37,55138889"
Петровско-Разумовская,1,10,Люблинско-Дмитровская,9,Переход на станцию Петровско-Разумовская Серпуховско-Тимирязевской линии,-61,16.09.2016,63100,"55,835","37,57444444"
Фонвизинская,2,10,Люблинско-Дмитровская,13,Переход на станцию Улица Милашенкова Московского монорельса,-65,16.09.2016,,"55,82277778","37,58805556"
Бутырская,3,10,Люблинско-Дмитровская,,,-60,16.09.2016,,"55,81333333","37,60277778"
Соколиная Гора,9,14,Московское центральное кольцо,,,,11.10.2016,,"55,77","37,74527778"
Дубровка,15,14,Московское центральное кольцо,10,Переход на станцию Дубровка Люблинско-Дмитровской линии,,11.10.2016,,"55,71277778","37,67777778"
Коптево,30,14,Московское центральное кольцо,,,,01.11.2016,,"55,83972222","37,52"
Зорге,26,14,Московское центральное кольцо,,,,04.11.2016,,"55,78916667","37,50416667"
Панфиловская,27,14,Московское центральное кольцо,7,Переход на станцию Октябрьское поле Таганско-Краснопресненской линии,,08.11.2016,,"55,79805556","37,49972222"
Раменки,1,8А,Солнцевская,,,-15,16.03.2017,,"55,69611111","37,50527778"
Ломоносовский проспект,2,8А,Солнцевская,,,-15,16.03.2017,,"55,70555556","37,5225"
Минская,3,8А,Солнцевская,,,-15,16.03.2017,,"55,72333333","37,50388889"
