"marshrut_";"marshrut_po_oblasti_";"_poezda";"rasstoyanie_vsego_po_marshrutu_";"vremya_otpravleniya_po_subektu_";"vremya_pribytiya_po_subektu_";"dni_sledovaniya";"period_sledovaniya";"sostavnost"
"Маклец-Урванка";"Маклец-Урванка";"6343";"15";"9:10";"9:42";"247";"по рабочим ";"2"
"Урванка -Маклец";"Урванка -Маклец";"6362";"15";"19:14";"19:47";"365";"ежедневно ";"4"
"Узловая - Маклец";"Узловая - Маклец";"6372";"35";"7:18";"8:42";"247";"по рабочим ";"2"
"Урванка -Б.Донской";"Урванка -Б.Донской";"6331";"10";"6:03";"6:23";"365";"ежедневно ";"4"
"Урванка -Б.Донской";"Урванка -Б.Донской";"6347";"10";"14:05";"14:24";"118";"по выходным и праздничным дням ";"4"
"Б. Донской -Урванка ";"Б. Донской -Урванка ";"6358";"10";"18:18";"18:37";"365";"ежедневно ";"4"
"Маклец - Новомосковск 1";"Маклец - Новомосковск 1";"6339";"17";"8:15";"8:51";"365";"ежедневно ";"4"
"Маклец- Б. Донской ";"Маклец- Б. Донской ";"6351";"25";"16:30";"17:21";"365";"ежедневно ";"4"
"Маклец - Новомосковск 1";"Маклец - Новомосковск 1";"6355";"17";"17:35";"18:11";"365";"ежедневно ";"4"
"Маклец - Новомосковск 1";"Маклец - Новомосковск 1";"6359";"17";"20:32";"21:11";"365";"ежедневно ";"4"
"Б. Донской -Маклец";"Б. Донской -Маклец";"6334";"25";"6:38";"7:30";"365";"ежедневно ";"4"
"Б. Донской -Маклец";"Б. Донской -Маклец";"6352";"25";"14:45";"15:37";"365";"ежедневно ";"4"
"Северная -Урванка ";"Северная -Урванка ";"6335";"13";"7:25";"7:52";"247";"по рабочим ";"4"
"Новомосковск 1 -Северная ";"Новомосковск 1 -Северная ";"6332";"15";"6:30";"7:04";"247";"по рабочим ";"4"
"Алексин-Урванка ";"Алексин-Урванка ";"6622/6621";"134";"5:19";"8:41";"365";"ежедневно ";"3"
"Алексин-Урванка ";"Алексин-Урванка ";"6624/6623";"138";"15:34";"19:26";"200";"ежедневно с 01.01.2019-18.04.2019 и с 01.10.2019-31.12.2019";"2"
"Алексин-Урванка ";"Алексин-Урванка ";"6624/6623";"138";"15:34";"19:26";"165";"ежедневно с 19.04.2019 - 30.09.2019";"3"
