name,first_week,year,inflation,first_week_box
Волки,28.08.2014,2014,"1,202238",10005713
Сестры,15.01.2016,2016,"1,04",11528812
Мартышки в космосе: Ответный удар 3D,05.08.2010,2010,"1,673423",7150632
Елена,29.09.2011,2011,"1,539488",7730450
Никто не выжил,18.04.2013,2013,"1,328473",8954321
Лимб,12.09.2013,2013,"1,328473",8942953
Отель «Мэриголд»: Лучший из экзотических,22.03.2012,2012,"1,434751",8274645
Даю год,14.03.2013,2013,"1,328473",8926716
Она,27.02.2014,2014,"1,202238",9835169
Кука,29.11.2007,2007,"2,339802",5042114
Чудо,17.11.2017,2017,1,11794358
Элегия,07.08.2008,2008,"2,018811",5817075
Где-то,18.11.2010,2010,"1,673423",6964698
Затмение,05.02.2016,2016,"1,04",11206168
Нежность,01.03.2012,2012,"1,434751",8114292
Общак,30.10.2014,2014,"1,202238",9579143
Добро пожаловать в капкан,18.04.2013,2013,"1,328473",8645033
Дальняя дорога,16.04.2015,2015,"1,09096",10523046
