name,first_week,year,inflation,first_week_box
Скрытые фигуры,17.03.2017,2017,1,5749519
Завет,25.10.2007,2007,"2,339802",2455081
Доктор Кто: Дважды во времени,29.12.2017,2017,1,5728954
72 часа,06.05.2016,2016,"1,04",5506949
По млечному пути,13.01.2017,2017,1,5722635
Рейдер,22.09.2011,2011,"1,539488",3701423
Доктор Кто: Глубокий вдох,21.08.2014,2014,"1,202238",4739131
О любви,24.03.2017,2017,1,5687063
"Такой же предатель, как и мы",13.05.2016,2016,"1,04",5461004
Его собачье дело,09.06.2017,2017,1,5676488
Бессонная ночь,02.02.2012,2012,"1,434751",3948549
Над глубиной: Хроника выживания,18.08.2017,2017,1,5665179
Мастер,14.02.2013,2013,"1,328473",4264076
Стыд,23.02.2012,2012,"1,434751",3946455
Медсестра,10.04.2014,2014,"1,202238",4703619
Ловушка для привидения,29.04.2016,2016,"1,04",5434877
Сказка. Есть,13.09.2012,2012,"1,434751",3938103
Дикие истории,15.01.2015,2015,"1,09096",5164740
Скрюченный домишко,03.11.2017,2017,1,5633741
Свет в океане,09.09.2016,2016,"1,04",5416293
По признакам совместимости,07.11.2013,2013,"1,328473",4231376
One Direction: Это мы,29.08.2013,2013,"1,328473",4211491
Секс и 101 смерть,27.09.2007,2007,"2,339802",2389018
Земля вампиров,15.09.2011,2011,"1,539488",3614638
Искусственный интеллект. Доступ неограничен,23.09.2016,2016,"1,04",5345780
Друзья навсегда,29.04.2010,2010,"1,673423",3321170
Голос улиц,13.11.2015,2015,"1,09096",5083602
Любовь вразнос,30.07.2015,2015,"1,09096",5080208
Последний обряд,22.01.2016,2016,"1,04",5325634
Рики и Флэш,10.09.2015,2015,"1,09096",5071068
Этим утром в Нью-Йорке,22.05.2014,2014,"1,202238",4590006
Изгнание,04.10.2007,2007,"2,339802",2351592
Техасская резня бензопилой: Кожаное лицо,22.09.2017,2017,1,5490201
Великий мастер,31.05.2013,2013,"1,328473",4105865
Манчестер у моря,24.03.2017,2017,1,5453456
WTF! Какого черта?,19.06.2014,2014,"1,202238",4519242
Любовь и дружба,19.08.2016,2016,"1,04",5223151
Мадам,15.09.2017,2017,1,5406588
Любой ценой,19.08.2016,2016,"1,04",5186981
Проделки в колледже,15.05.2008,2008,"2,018811",2670941
Медведи Буни: Таинственная зима,12.02.2016,2016,"1,04",5097550
Супергерои,18.11.2016,2016,"1,04",5074375
"Знать бы, что я гений",12.06.2008,2008,"2,018811",2609015
Жених на двоих,11.08.2017,2017,1,5265739
